#,id,contactName,voucherNumber,voucherDate,totalAmount,_tax_rates,voucherStatus,_category
1,44720787-5a83-43de-a563-3221d66821e2,Metro Deutschland GmbH,01. 04. 2026/658/0/0/0521/013168,2026-04-01T00:00:00.000+02:00,617.34,7% / 19%,paid,Material/Waren > Wareneinkauf
2,2301e842-e17b-40c9-992c-9301bd2eb344,Lidl,1884,2026-03-31T00:00:00.000+02:00,14.64,7% / 19%,paid,Material/Waren > Wareneinkauf
3,7f646ff0-b5be-42de-82a7-9791e9f83c31,Aldi,335850,2026-03-31T00:00:00.000+02:00,59.42,7% / 19%,paid,Material/Waren > Wareneinkauf
4,64699cdf-acb6-40c7-b4fc-084c98278ed5,Aldi,0727,2026-03-30T00:00:00.000+02:00,34.15,19%,paid,Material/Waren > Wareneinkauf
5,470145cc-950f-4c44-861b-2b4443ad0ab5,Mrap GmbH,HCM3455063,2026-03-29T00:00:00.000+01:00,20.9,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
6,3175aeef-19ce-4d0b-aa82-b637955b2334,Metro Deutschland GmbH,28. 03. 2026/036/0/0/0501/017336,2026-03-28T00:00:00.000+01:00,125.55,19%,paid,Material/Waren > Wareneinkauf
7,91abf366-a419-4c18-bea7-439566e79dfc,Lidl,3351 411512/04,2026-03-27T00:00:00.000+01:00,19.89,7% / 19%,paid,Material/Waren > Wareneinkauf
8,066bb463-eae9-4d9b-a6f3-60430b7fa397,Firma Rohr-Fuxx - Rohr- & Kanalreinigungs GmbH,20260924,2026-03-26T00:00:00.000+01:00,544.35,19%,paid,Raumkosten > Sonstige Raumkosten
9,5a0d22cb-0832-46c7-ab91-48714dd63743,Metro Deutschland GmbH,26. 03. 2026/658/0/0/0521/011954,2026-03-26T00:00:00.000+01:00,254.87,7%,paid,Material/Waren > Wareneinkauf
10,cee64105-dde8-4570-a69b-c8da47ecb883,Wolfmarkt GmbH,6713,2026-03-26T00:00:00.000+01:00,32.0,7%,paid,Material/Waren > Wareneinkauf
11,575c1f3d-84de-4735-b841-296a1bd306b2,Wolf Markt GmbH,1571830,2026-03-26T00:00:00.000+01:00,35.95,19%,paid,Material/Waren > Wareneinkauf
12,90b61bcc-4387-494a-8cb4-b6db13a790e1,Lsw Energle Gmbh & Co. KG,AM 4201158117,2026-03-25T00:00:00.000+01:00,250.0,19%,paid,"Raumkosten > Strom, Wasser, Gas"
